Date,Day,Month,MonthNumber,Quarter,Weekday,Year
2020-09-07 00:00:00,7,September,9,Q3,Monday,2020
2020-09-08 00:00:00,8,September,9,Q3,Tuesday,2020
2020-09-09 00:00:00,9,September,9,Q3,Wednesday,2020
2020-09-10 00:00:00,10,September,9,Q3,Thursday,2020
2020-09-11 00:00:00,11,September,9,Q3,Friday,2020
2020-09-12 00:00:00,12,September,9,Q3,Saturday,2020
2020-09-13 00:00:00,13,September,9,Q3,Sunday,2020
2020-09-14 00:00:00,14,September,9,Q3,Monday,2020
2020-09-15 00:00:00,15,September,9,Q3,Tuesday,2020
2020-09-16 00:00:00,16,September,9,Q3,Wednesday,2020
2020-09-17 00:00:00,17,September,9,Q3,Thursday,2020
2020-09-18 00:00:00,18,September,9,Q3,Friday,2020
2020-09-19 00:00:00,19,September,9,Q3,Saturday,2020
2020-09-20 00:00:00,20,September,9,Q3,Sunday,2020
2020-09-21 00:00:00,21,September,9,Q3,Monday,2020
2020-09-22 00:00:00,22,September,9,Q3,Tuesday,2020
2020-09-23 00:00:00,23,September,9,Q3,Wednesday,2020
2020-09-24 00:00:00,24,September,9,Q3,Thursday,2020
2020-09-25 00:00:00,25,September,9,Q3,Friday,2020
2020-09-26 00:00:00,26,September,9,Q3,Saturday,2020
2020-09-27 00:00:00,27,September,9,Q3,Sunday,2020
2020-09-28 00:00:00,28,September,9,Q3,Monday,2020
2020-09-29 00:00:00,29,September,9,Q3,Tuesday,2020
2020-09-30 00:00:00,30,September,9,Q3,Wednesday,2020
2020-10-01 00:00:00,1,October,10,Q4,Thursday,2020
2020-10-02 00:00:00,2,October,10,Q4,Friday,2020
2020-10-03 00:00:00,3,October,10,Q4,Saturday,2020
2020-10-04 00:00:00,4,October,10,Q4,Sunday,2020
2020-10-05 00:00:00,5,October,10,Q4,Monday,2020
2020-10-06 00:00:00,6,October,10,Q4,Tuesday,2020
2020-10-07 00:00:00,7,October,10,Q4,Wednesday,2020
2020-10-08 00:00:00,8,October,10,Q4,Thursday,2020
2020-10-09 00:00:00,9,October,10,Q4,Friday,2020
2020-10-10 00:00:00,10,October,10,Q4,Saturday,2020
2020-10-11 00:00:00,11,October,10,Q4,Sunday,2020
2020-10-12 00:00:00,12,October,10,Q4,Monday,2020
2020-10-13 00:00:00,13,October,10,Q4,Tuesday,2020
2020-10-14 00:00:00,14,October,10,Q4,Wednesday,2020
2020-10-15 00:00:00,15,October,10,Q4,Thursday,2020
2020-10-16 00:00:00,16,October,10,Q4,Friday,2020
2020-10-17 00:00:00,17,October,10,Q4,Saturday,2020
2020-10-18 00:00:00,18,October,10,Q4,Sunday,2020
2020-10-19 00:00:00,19,October,10,Q4,Monday,2020
2020-10-20 00:00:00,20,October,10,Q4,Tuesday,2020
2020-10-21 00:00:00,21,October,10,Q4,Wednesday,2020
2020-10-22 00:00:00,22,October,10,Q4,Thursday,2020
2020-10-23 00:00:00,23,October,10,Q4,Friday,2020
2020-10-24 00:00:00,24,October,10,Q4,Saturday,2020
2020-10-25 00:00:00,25,October,10,Q4,Sunday,2020
2020-10-26 00:00:00,26,October,10,Q4,Monday,2020
2020-10-27 00:00:00,27,October,10,Q4,Tuesday,2020
2020-10-28 00:00:00,28,October,10,Q4,Wednesday,2020
2020-10-29 00:00:00,29,October,10,Q4,Thursday,2020
2020-10-30 00:00:00,30,October,10,Q4,Friday,2020
2020-10-31 00:00:00,31,October,10,Q4,Saturday,2020
2020-11-01 00:00:00,1,November,11,Q4,Sunday,2020
2020-11-02 00:00:00,2,November,11,Q4,Monday,2020
2020-11-03 00:00:00,3,November,11,Q4,Tuesday,2020
2020-11-04 00:00:00,4,November,11,Q4,Wednesday,2020
2020-11-05 00:00:00,5,November,11,Q4,Thursday,2020
2020-11-06 00:00:00,6,November,11,Q4,Friday,2020
2020-11-07 00:00:00,7,November,11,Q4,Saturday,2020
2020-11-08 00:00:00,8,November,11,Q4,Sunday,2020
2020-11-09 00:00:00,9,November,11,Q4,Monday,2020
2020-11-10 00:00:00,10,November,11,Q4,Tuesday,2020
2020-11-11 00:00:00,11,November,11,Q4,Wednesday,2020
2020-11-12 00:00:00,12,November,11,Q4,Thursday,2020
2020-11-13 00:00:00,13,November,11,Q4,Friday,2020
2020-11-14 00:00:00,14,November,11,Q4,Saturday,2020
2020-11-15 00:00:00,15,November,11,Q4,Sunday,2020
2020-11-16 00:00:00,16,November,11,Q4,Monday,2020
2020-11-17 00:00:00,17,November,11,Q4,Tuesday,2020
2020-11-18 00:00:00,18,November,11,Q4,Wednesday,2020
2020-11-19 00:00:00,19,November,11,Q4,Thursday,2020
2020-11-20 00:00:00,20,November,11,Q4,Friday,2020
2020-11-21 00:00:00,21,November,11,Q4,Saturday,2020
2020-11-22 00:00:00,22,November,11,Q4,Sunday,2020
2020-11-23 00:00:00,23,November,11,Q4,Monday,2020
2020-11-24 00:00:00,24,November,11,Q4,Tuesday,2020
2020-11-25 00:00:00,25,November,11,Q4,Wednesday,2020
2020-11-26 00:00:00,26,November,11,Q4,Thursday,2020
2020-11-27 00:00:00,27,November,11,Q4,Friday,2020
2020-11-28 00:00:00,28,November,11,Q4,Saturday,2020
2020-11-29 00:00:00,29,November,11,Q4,Sunday,2020
2020-11-30 00:00:00,30,November,11,Q4,Monday,2020
2020-12-01 00:00:00,1,December,12,Q4,Tuesday,2020
2020-12-02 00:00:00,2,December,12,Q4,Wednesday,2020
2020-12-03 00:00:00,3,December,12,Q4,Thursday,2020
2020-12-04 00:00:00,4,December,12,Q4,Friday,2020
2020-12-05 00:00:00,5,December,12,Q4,Saturday,2020
2020-12-06 00:00:00,6,December,12,Q4,Sunday,2020
